Time (s),C1 (V),C2 (V)
-0.9,2.86718628817736,2.79807744451932
-0.899775,2.86718628817736,2.79455857914743
-0.89955,2.86718628817736,2.79455857914743
-0.899325,2.86718628817736,2.79455857914743
-0.8991,2.86718628817736,2.79455857914743
-0.898875,2.86718628817736,2.79807744451932
-0.89865,2.86718628817736,2.79807744451932
-0.898425,2.86718628817736,2.79807744451932
-0.8982,2.86718628817736,2.79807744451932
-0.897975,2.86718628817736,2.79455857914743
-0.89775,2.86718628817736,2.79455857914743
-0.897525,2.86718628817736,2.79455857914743
-0.8973,2.86718628817736,2.79807744451932
-0.897075,2.86718628817736,2.79455857914743
-0.89685,2.86718628817736,2.79455857914743
-0.896625,2.86718628817736,2.79455857914743
-0.8964,2.86718628817736,2.79807744451932
-0.896175,2.86718628817736,2.79807744451932
-0.89595,2.86718628817736,2.79807744451932
-0.895725,2.86718628817736,2.79807744451932
-0.8955,2.86718628817736,2.79455857914743
-0.895275,2.86718628817736,2.79807744451932
-0.89505,2.86718628817736,2.79455857914743
-0.894825,2.86718628817736,2.79455857914743
-0.8946,2.86718628817736,2.79807744451932
-0.894375,2.86718628817736,2.79807744451932
-0.89415,2.86718628817736,2.79807744451932
-0.893925,2.86718628817736,2.79455857914743
-0.8937,2.86718628817736,2.79807744451932
-0.893475,2.86718628817736,2.79455857914743
-0.89325,2.86718628817736,2.79455857914743
-0.893025,2.86718628817736,2.79807744451932
-0.8928,2.86718628817736,2.79807744451932
-0.892575,2.87074333914474,2.79807744451932
-0.89235,2.86718628817736,2.79807744451932
-0.892125,2.86718628817736,2.79807744451932
-0.8919,2.86718628817736,2.79455857914743
-0.891675,2.86718628817736,2.79807744451932
-0.89145,2.86718628817736,2.79807744451932
-0.891225,2.86718628817736,2.79807744451932
-0.891,2.86718628817736,2.79455857914743
-0.890775,2.86718628817736,2.79455857914743
-0.89055,2.86718628817736,2.79807744451932
-0.890325,2.86718628817736,2.79807744451932
-0.8901,2.86718628817736,2.79807744451932
-0.889875,2.86718628817736,2.79455857914743
-0.88965,2.86718628817736,2.79807744451932
-0.889425,2.86718628817736,2.79455857914743
-0.8892,2.86718628817736,2.79807744451932
-0.888975,2.86718628817736,2.79807744451932
-0.88875,2.86718628817736,2.79455857914743
-0.888525,2.86718628817736,2.79455857914743
-0.8883,2.86718628817736,2.79455857914743
-0.888075,2.86718628817736,2.79455857914743
-0.88785,2.86718628817736,2.79807744451932
-0.887625,2.86718628817736,2.79807744451932
-0.8874,2.86718628817736,2.79807744451932
-0.887175,2.86718628817736,2.79807744451932
-0.88695,2.86718628817736,2.79807744451932
-0.886725,2.86718628817736,2.79455857914743
-0.8865,2.86718628817736,2.79455857914743
-0.886275,2.86718628817736,2.79455857914743
-0.88605,2.86718628817736,2.79455857914743
-0.885825,2.86718628817736,2.79807744451932
-0.8856,2.86718628817736,2.79807744451932
-0.885375,2.86718628817736,2.79455857914743
-0.88515,2.86718628817736,2.79455857914743
-0.884925,2.86718628817736,2.79455857914743
-0.8847,2.87074333914474,2.79807744451932
-0.884475,2.87074333914474,2.79807744451932
-0.88425,2.86718628817736,2.79807744451932
-0.884025,2.86718628817736,2.79455857914743
-0.8838,2.86718628817736,2.79455857914743
-0.883575,2.86718628817736,2.79807744451932
-0.88335,2.86718628817736,2.79455857914743
-0.883125,2.86718628817736,2.79455857914743
-0.8829,2.86718628817736,2.79455857914743
-0.882675,2.86718628817736,2.79455857914743
-0.88245,2.86718628817736,2.79455857914743
-0.882225,2.86718628817736,2.79455857914743
-0.882,2.86718628817736,2.79455857914743
-0.881775,2.87074333914474,2.79807744451932
-0.88155,2.87074333914474,2.79455857914743
-0.881325,2.86718628817736,2.79807744451932
-0.8811,2.86718628817736,2.79455857914743
-0.880875,2.87074333914474,2.79807744451932
-0.88065,2.86718628817736,2.79807744451932
-0.880425,2.86718628817736,2.79807744451932
-0.8802,2.87074333914474,2.79807744451932
-0.879975,2.87074333914474,2.79807744451932
-0.87975,2.87074333914474,2.79455857914743
-0.879525,2.86718628817736,2.79455857914743
-0.8793,2.86718628817736,2.79455857914743
-0.879075,2.87074333914474,2.79455857914743
-0.87885,2.87074333914474,2.79807744451932
-0.878625,2.86718628817736,2.79455857914743
-0.8784,2.86718628817736,2.79455857914743
-0.878175,2.86718628817736,2.79807744451932
-0.87795,2.86718628817736,2.79455857914743
-0.877725,2.86718628817736,2.79455857914743
-0.8775,2.86718628817736,2.79455857914743
-0.877275,2.86718628817736,2.79807744451932
-0.87705,2.86718628817736,2.79455857914743
-0.876825,2.86718628817736,2.79455857914743
-0.8766,2.86718628817736,2.79455857914743
-0.876375,2.87074333914474,2.79455857914743
-0.87615,2.86718628817736,2.79455857914743
-0.875925,2.87074333914474,2.79455857914743
-0.8757,2.86718628817736,2.79455857914743
-0.875475,2.86718628817736,2.79455857914743
-0.87525,2.86718628817736,2.79455857914743
-0.875025,2.87074333914474,2.79807744451932
-0.8748,2.86718628817736,2.79807744451932
-0.874575,2.87074333914474,2.79455857914743
-0.87435,2.86718628817736,2.79455857914743
-0.874125,2.86718628817736,2.79455857914743
-0.8739,2.86718628817736,2.79455857914743
-0.873675,2.86718628817736,2.79455857914743
-0.87345,2.86718628817736,2.79455857914743
-0.873225,2.86718628817736,2.79455857914743
-0.873,2.87074333914474,2.79455857914743
-0.872775,2.87074333914474,2.79807744451932
-0.87255,2.86718628817736,2.79455857914743
-0.872325,2.86718628817736,2.79455857914743
-0.8721,2.86718628817736,2.79455857914743
-0.871875,2.86718628817736,2.79455857914743
-0.87165,2.86718628817736,2.79455857914743
-0.871425,2.87074333914474,2.79455857914743
-0.8712,2.87074333914474,2.79455857914743
-0.870975,2.87074333914474,2.79455857914743
-0.87075,2.87074333914474,2.79807744451932
-0.870525,2.86718628817736,2.79455857914743
-0.8703,2.86718628817736,2.79455857914743
-0.870075,2.86718628817736,2.79455857914743
-0.86985,2.87074333914474,2.79807744451932
-0.869625,2.87074333914474,2.79807744451932
-0.8694,2.86718628817736,2.79807744451932
-0.869175,2.86718628817736,2.79455857914743
-0.86895,2.87074333914474,2.79455857914743
-0.868725,2.86718628817736,2.79455857914743
-0.8685,2.86718628817736,2.79455857914743
-0.868275,2.86718628817736,2.79455857914743
-0.86805,2.86718628817736,2.79807744451932
-0.867825,2.86718628817736,2.79455857914743
-0.8676,2.86718628817736,2.79455857914743
-0.867375,2.86718628817736,2.79455857914743
-0.86715,2.87074333914474,2.79455857914743
-0.866925,2.86718628817736,2.79455857914743
-0.8667,2.86718628817736,2.79455857914743
-0.866475,2.87074333914474,2.79807744451932
-0.86625,2.86718628817736,2.79455857914743
-0.866025,2.86718628817736,2.79455857914743
-0.8658,2.86718628817736,2.79455857914743
-0.865575,2.86718628817736,2.79455857914743
-0.86535,2.86718628817736,2.79455857914743
-0.865125,2.86718628817736,2.79455857914743
-0.8649,2.87074333914474,2.79807744451932
-0.864675,2.86718628817736,2.79455857914743
-0.86445,2.86718628817736,2.79455857914743
-0.864225,2.86718628817736,2.79455857914743
-0.864,2.86718628817736,2.79807744451932
-0.863775,2.87074333914474,2.79807744451932
-0.86355,2.86718628817736,2.79455857914743
-0.863325,2.86718628817736,2.79807744451932
-0.8631,2.86718628817736,2.79455857914743
-0.862875,2.86718628817736,2.79455857914743
-0.86265,2.86718628817736,2.79455857914743
-0.862425,2.86718628817736,2.79807744451932
-0.8622,2.86718628817736,2.79455857914743
-0.861975,2.86718628817736,2.79455857914743
-0.86175,2.86718628817736,2.79455857914743
-0.861525,2.86718628817736,2.79455857914743
-0.8613,2.86718628817736,2.79807744451932
-0.861075,2.86718628817736,2.79455857914743
-0.86085,2.86718628817736,2.79455857914743
-0.860625,2.86718628817736,2.79455857914743
-0.8604,2.86718628817736,2.79455857914743
-0.860175,2.86718628817736,2.79455857914743
-0.85995,2.87074333914474,2.79455857914743
-0.859725,2.86718628817736,2.79455857914743
-0.8595,2.86718628817736,2.79455857914743
-0.859275,2.86718628817736,2.79455857914743
-0.85905,2.86718628817736,2.79455857914743
-0.858825,2.86718628817736,2.79455857914743
-0.8586,2.86718628817736,2.79455857914743
-0.858375,2.86718628817736,2.79455857914743
-0.85815,2.86718628817736,2.79455857914743
-0.857925,2.86718628817736,2.79455857914743
-0.8577,2.86718628817736,2.79455857914743
-0.857475,2.86718628817736,2.79455857914743
-0.85725,2.86718628817736,2.79455857914743
-0.857025,2.86718628817736,2.79455857914743
-0.8568,2.86718628817736,2.79455857914743
-0.856575,2.86718628817736,2.79807744451932
-0.85635,2.86718628817736,2.79455857914743
-0.856125,2.86718628817736,2.79807744451932
-0.8559,2.86718628817736,2.79455857914743
-0.855675,2.86718628817736,2.79455857914743
-0.85545,2.86718628817736,2.79455857914743
-0.855225,2.86718628817736,2.79807744451932
-0.855,2.86718628817736,2.79455857914743
-0.854775,2.86718628817736,2.79455857914743
-0.85455,2.86718628817736,2.79455857914743
-0.854325,2.86718628817736,2.79455857914743
-0.8541,2.86718628817736,2.79455857914743
-0.853875,2.86718628817736,2.79455857914743
-0.85365,2.86718628817736,2.79455857914743
-0.853425,2.86718628817736,2.79455857914743
-0.8532,2.86718628817736,2.79455857914743
-0.852975,2.86718628817736,2.79455857914743
-0.85275,2.86718628817736,2.79455857914743
-0.852525,2.86718628817736,2.79455857914743
-0.8523,2.86718628817736,2.79455857914743
-0.852075,2.86718628817736,2.79455857914743
-0.85185,2.86718628817736,2.79807744451932
-0.851625,2.86718628817736,2.79455857914743
-0.8514,2.86718628817736,2.79455857914743
