Time (s),C1 (V),C2 (V)
-0.155994353551476,-0.522683283739566,-0.00997712225090086
-0.155969353551476,-0.522683283739566,-0.0134959876227934
-0.155944353551476,-0.522683283739566,-0.00997712225090086
-0.155919353551476,-0.522683283739566,-0.00997712225090086
-0.155894353551476,-0.522683283739566,-0.0134959876227934
-0.155869353551476,-0.522683283739566,-0.0134959876227934
-0.155844353551476,-0.522683283739566,-0.0134959876227934
-0.155819353551476,-0.522683283739566,-0.00997712225090086
-0.155794353551476,-0.522683283739566,-0.00997712225090086
-0.155769353551476,-0.522683283739566,-0.00997712225090086
-0.155744353551476,-0.52624033470695,-0.00997712225090086
-0.155719353551476,-0.522683283739566,-0.00997712225090086
-0.155694353551476,-0.522683283739566,-0.00997712225090086
-0.155669353551476,-0.522683283739566,-0.00997712225090086
-0.155644353551476,-0.522683283739566,-0.0134959876227934
-0.155619353551476,-0.522683283739566,-0.00997712225090086
-0.155594353551476,-0.522683283739566,-0.00997712225090086
-0.155569353551476,-0.52624033470695,-0.0134959876227934
-0.155544353551476,-0.522683283739566,-0.00997712225090086
-0.155519353551476,-0.52624033470695,-0.0134959876227934
-0.155494353551476,-0.522683283739566,-0.0134959876227934
-0.155469353551476,-0.522683283739566,-0.0134959876227934
-0.155444353551476,-0.522683283739566,-0.00997712225090086
-0.155419353551476,-0.522683283739566,-0.00997712225090086
-0.155394353551476,-0.522683283739566,-0.00997712225090086
-0.155369353551476,-0.522683283739566,-0.00997712225090086
-0.155344353551476,-0.522683283739566,-0.0134959876227934
-0.155319353551476,-0.522683283739566,-0.0134959876227934
-0.155294353551476,-0.522683283739566,-0.0134959876227934
-0.155269353551476,-0.522683283739566,-0.0134959876227934
-0.155244353551476,-0.522683283739566,-0.00997712225090086
-0.155219353551476,-0.522683283739566,-0.00997712225090086
-0.155194353551476,-0.522683283739566,-0.00997712225090086
-0.155169353551476,-0.522683283739566,-0.0134959876227934
-0.155144353551476,-0.522683283739566,-0.0134959876227934
-0.155119353551476,-0.522683283739566,-0.0134959876227934
-0.155094353551476,-0.522683283739566,-0.00997712225090086
-0.155069353551476,-0.522683283739566,-0.00997712225090086
-0.155044353551476,-0.522683283739566,-0.00997712225090086
-0.155019353551476,-0.522683283739566,-0.00997712225090086
-0.154994353551476,-0.522683283739566,-0.00997712225090086
-0.154969353551476,-0.522683283739566,-0.00997712225090086
-0.154944353551476,-0.522683283739566,-0.00997712225090086
-0.154919353551476,-0.522683283739566,-0.00997712225090086
-0.154894353551476,-0.522683283739566,-0.00997712225090086
-0.154869353551476,-0.522683283739566,-0.00997712225090086
-0.154844353551476,-0.522683283739566,-0.00997712225090086
-0.154819353551476,-0.522683283739566,-0.0134959876227934
-0.154794353551476,-0.522683283739566,-0.00997712225090086
-0.154769353551476,-0.522683283739566,-0.0134959876227934
-0.154744353551476,-0.522683283739566,-0.00997712225090086
-0.154719353551476,-0.522683283739566,-0.00997712225090086
-0.154694353551476,-0.522683283739566,-0.0134959876227934
-0.154669353551476,-0.522683283739566,-0.0134959876227934
-0.154644353551476,-0.522683283739566,-0.0134959876227934
-0.154619353551476,-0.522683283739566,-0.00997712225090086
-0.154594353551476,-0.522683283739566,-0.0134959876227934
-0.154569353551476,-0.522683283739566,-0.0134959876227934
-0.154544353551476,-0.522683283739566,-0.0134959876227934
-0.154519353551476,-0.522683283739566,-0.0134959876227934
-0.154494353551476,-0.522683283739566,-0.0134959876227934
-0.154469353551476,-0.522683283739566,-0.00997712225090086
-0.154444353551476,-0.522683283739566,-0.00997712225090086
-0.154419353551476,-0.522683283739566,-0.0134959876227934
-0.154394353551476,-0.522683283739566,-0.0134959876227934
-0.154369353551476,-0.522683283739566,-0.0134959876227934
-0.154344353551476,-0.522683283739566,-0.0134959876227934
-0.154319353551476,-0.522683283739566,-0.0134959876227934
-0.154294353551476,-0.522683283739566,-0.0134959876227934
-0.154269353551476,-0.522683283739566,-0.0134959876227934
-0.154244353551476,-0.522683283739566,-0.0134959876227934
-0.154219353551476,-0.522683283739566,-0.0134959876227934
-0.154194353551476,-0.522683283739566,-0.0134959876227934
-0.154169353551476,-0.522683283739566,-0.00997712225090086
-0.154144353551476,-0.522683283739566,-0.0134959876227934
-0.154119353551476,-0.52624033470695,-0.0134959876227934
-0.154094353551476,-0.522683283739566,-0.0134959876227934
-0.154069353551476,-0.52624033470695,-0.0134959876227934
-0.154044353551476,-0.522683283739566,-0.00997712225090086
-0.154019353551476,-0.522683283739566,-0.0134959876227934
-0.153994353551476,-0.522683283739566,-0.0134959876227934
-0.153969353551476,-0.522683283739566,-0.0134959876227934
-0.153944353551476,-0.522683283739566,-0.0134959876227934
-0.153919353551476,-0.522683283739566,-0.0134959876227934
-0.153894353551476,-0.522683283739566,-0.0134959876227934
-0.153869353551476,-0.522683283739566,-0.0134959876227934
-0.153844353551476,-0.522683283739566,-0.00997712225090086
-0.153819353551476,-0.522683283739566,-0.00997712225090086
-0.153794353551476,-0.522683283739566,-0.0134959876227934
-0.153769353551476,-0.522683283739566,-0.00997712225090086
-0.153744353551476,-0.522683283739566,-0.00997712225090086
-0.153719353551476,-0.522683283739566,-0.00997712225090086
-0.153694353551476,-0.522683283739566,-0.00997712225090086
-0.153669353551476,-0.522683283739566,-0.0134959876227934
-0.153644353551476,-0.522683283739566,-0.0134959876227934
-0.153619353551476,-0.522683283739566,-0.00997712225090086
-0.153594353551476,-0.522683283739566,-0.0134959876227934
-0.153569353551476,-0.522683283739566,-0.0134959876227934
-0.153544353551476,-0.522683283739566,-0.0134959876227934
-0.153519353551476,-0.522683283739566,-0.0134959876227934
-0.153494353551476,-0.522683283739566,-0.0134959876227934
-0.153469353551476,-0.522683283739566,-0.0134959876227934
-0.153444353551476,-0.522683283739566,-0.0134959876227934
-0.153419353551476,-0.522683283739566,-0.0134959876227934
-0.153394353551476,-0.522683283739566,-0.00997712225090086
-0.153369353551476,-0.522683283739566,-0.0134959876227934
-0.153344353551476,-0.522683283739566,-0.00997712225090086
-0.153319353551476,-0.522683283739566,-0.0134959876227934
-0.153294353551476,-0.519126232772182,-0.0134959876227934
-0.153269353551476,-0.522683283739566,-0.0134959876227934
-0.153244353551476,-0.522683283739566,-0.0134959876227934
-0.153219353551476,-0.522683283739566,-0.00997712225090086
-0.153194353551476,-0.52624033470695,-0.0134959876227934
-0.153169353551476,-0.522683283739566,-0.0134959876227934
-0.153144353551476,-0.522683283739566,-0.00997712225090086
-0.153119353551476,-0.522683283739566,-0.0134959876227934
-0.153094353551476,-0.522683283739566,-0.0134959876227934
-0.153069353551476,-0.522683283739566,-0.0134959876227934
-0.153044353551476,-0.522683283739566,-0.0134959876227934
-0.153019353551476,-0.522683283739566,-0.0134959876227934
-0.152994353551476,-0.522683283739566,-0.0134959876227934
-0.152969353551476,-0.522683283739566,-0.00997712225090086
-0.152944353551476,-0.52624033470695,-0.0134959876227934
-0.152919353551476,-0.522683283739566,-0.0134959876227934
-0.152894353551476,-0.522683283739566,-0.00997712225090086
-0.152869353551476,-0.52624033470695,-0.00997712225090086
-0.152844353551476,-0.522683283739566,-0.00997712225090086
-0.152819353551476,-0.522683283739566,-0.0134959876227934
-0.152794353551476,-0.522683283739566,-0.0134959876227934
-0.152769353551476,-0.522683283739566,-0.0134959876227934
-0.152744353551476,-0.522683283739566,-0.00997712225090086
-0.152719353551476,-0.522683283739566,-0.0134959876227934
-0.152694353551476,-0.522683283739566,-0.0134959876227934
-0.152669353551476,-0.519126232772182,-0.00997712225090086
-0.152644353551476,-0.522683283739566,-0.00997712225090086
-0.152619353551476,-0.522683283739566,-0.0134959876227934
-0.152594353551476,-0.522683283739566,-0.0134959876227934
-0.152569353551476,-0.522683283739566,-0.00997712225090086
-0.152544353551476,-0.522683283739566,-0.0134959876227934
-0.152519353551476,-0.522683283739566,-0.00997712225090086
-0.152494353551476,-0.522683283739566,-0.0134959876227934
-0.152469353551476,-0.52624033470695,-0.00997712225090086
-0.152444353551476,-0.522683283739566,-0.00997712225090086
-0.152419353551476,-0.522683283739566,-0.00997712225090086
-0.152394353551476,-0.522683283739566,-0.0134959876227934
-0.152369353551476,-0.522683283739566,-0.0134959876227934
-0.152344353551476,-0.522683283739566,-0.0134959876227934
-0.152319353551476,-0.52624033470695,-0.00997712225090086
-0.152294353551476,-0.522683283739566,-0.00997712225090086
-0.152269353551476,-0.522683283739566,-0.0134959876227934
-0.152244353551476,-0.522683283739566,-0.0134959876227934
-0.152219353551476,-0.522683283739566,-0.0134959876227934
-0.152194353551476,-0.522683283739566,-0.00997712225090086
-0.152169353551476,-0.522683283739566,-0.00997712225090086
-0.152144353551476,-0.522683283739566,-0.00997712225090086
-0.152119353551476,-0.522683283739566,-0.0134959876227934
-0.152094353551476,-0.52624033470695,-0.00997712225090086
-0.152069353551476,-0.522683283739566,-0.0134959876227934
-0.152044353551476,-0.522683283739566,-0.0134959876227934
-0.152019353551476,-0.522683283739566,-0.00997712225090086
-0.151994353551476,-0.522683283739566,-0.0134959876227934
-0.151969353551476,-0.522683283739566,-0.0134959876227934
-0.151944353551476,-0.522683283739566,-0.00997712225090086
-0.151919353551476,-0.522683283739566,-0.00997712225090086
